vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
346,DUCATI,ST3,992,S ABS,ST3 992 S ABS,,2007,2,4-STROKE,75 KW(102 PS),ALL,MOTORBIKE,SPORTTOURER
347,DUCATI,MULTISTRADA,1200,S ABS,MULTISTRADA 1200 S ABS,Granturismo,2013,2,4-STROKE,110 KW(150 PS),ALL,MOTORBIKE,DUAL PURPOSE
348,DUCATI,PANIGALE,1199,S ABS,PANIGALE 1199 S ABS,Tricolore,2013,2,4-STROKE,143 KW(195 PS),ALL,MOTORBIKE,SPORTBIKE
349,DUCATI,MONSTER,796,,MONSTER 796,,2013,2,4-STROKE,25 KW(34 PS); 71 KW(97 PS),ALL,MOTORBIKE,NAKEDBIKE
350,DUCATI,MULTISTRADA,1200,S ABS,MULTISTRADA 1200 S ABS,Granturismo,2014,2,4-STROKE,110 KW(150 PS),ALL,MOTORBIKE,DUAL PURPOSE
351,DUCATI,HYPERMOTARD,821,ABS,HYPERMOTARD 821 ABS,,2015,2,4-STROKE,81 KW(110 PS),ALL,MOTORBIKE,SUPERMOTO
352,DUCATI,MONSTER,795,ABS,MONSTER 795 ABS,,2015,2,4-STROKE,64 KW(87 PS),ASIA,MOTORBIKE,NAKEDBIKE
353,DUCATI,DIAVEL,1200,ABS,DIAVEL 1200 ABS,Carbon,2016,2,4-STROKE,119 KW(162 PS),ALL,MOTORBIKE,NAKEDBIKE
354,DUCATI,MONSTER,821,ABS,MONSTER 821 ABS,Dark,2016,2,4-STROKE,82 KW(112 PS),ALL,MOTORBIKE,NAKEDBIKE
355,DUCATI,MONSTER,797,ABS,MONSTER 797 ABS,Plus(+),2019,2,4-STROKE,54 KW(73 PS); 34 KW(46 PS),ALL,MOTORBIKE,NAKEDBIKE
356,DUCATI,MULTISTRADA,1260,S ABS,MULTISTRADA 1260 S ABS,,2019,2,4-STROKE,116 KW(158 PS); 74 KW(100 PS),ALL,MOTORBIKE,DUAL PURPOSE
357,DUCATI,XDIAVEL,1262,S ABS,XDIAVEL 1262 S ABS,,2019,2,4-STROKE,112 KW(152 PS),ALL,MOTORBIKE,NAKEDBIKE
358,DUCATI,MONSTER,821,ABS,MONSTER 821 ABS,Stealth,2020,2,4-STROKE,80 KW(109 PS); 68KW(92 PS); 34 KW(46 PS),ALL,MOTORBIKE,NAKEDBIKE
359,ENERGICA,EVA,,ESSEESSE9 ABS,EVA ESSEESSE9 ABS,Special,2019,,ELECTRIC,80 KW(109 PS),ALL,MOTORBIKE,NAKEDBIKE
360,ETON,RXL,90,R,RXL 90 R,Viper,2011,1,4-STROKE,"4,8 KW(6,5 PS)",EUROPE,ATV,QUAD
361,EXPLORER,STINGER,250,2X4,STINGER 250 2X4,,2003,2,4-STROKE,13 KW(18 PS),EUROPE,ATV,QUAD
362,EXPLORER,TRASHER,520,2X4,TRASHER 520 2X4,,2012,1,4-STROKE,15 KW(20 PS); 36 KW(49 PS),EUROPE,ATV,QUAD
363,EXPLORER,TRASHER,520,2X4,TRASHER 520 2X4,SM,2014,1,4-STROKE,15 KW(20 PS); 36 KW(49 PS),EUROPE,ATV,QUAD
364,EXPLORER,ARGON,330,S 2x4,ARGON 330 S 2x4,,2016,1,4-STROKE,15 KW(20 PS),EUROPE,ATV,ATV
365,FANTIC,TZ,200,SMR,TZ 200 SMR,Motard Competizione,2010,1,4-STROKE,,EUROPE,MOTORBIKE,SUPERMOTO
366,FANTIC,TR ,300,ES,TF 300 ES,Caballero Enduro Six Days 2T,2014,1,2-STROKE,,EUROPE,MOTORBIKE,ENDURO
367,FANTIC,CABALLERO,50,E,CABALLERO 50 E,Performance,2015,1,2-STROKE,,EUROPE,MOTORBIKE,ENDURO
368,FANTIC,M,50,,50 M,Casa,2016,1,2-STROKE,,EUROPE,MOTORBIKE,SUPERMOTO
369,FANTIC,E,125,,125 E,Performance,2017,1,4-STROKE,,EUROPE,MOTORBIKE,ENDURO
370,GAS GAS,JTR,370,,JTR 370,,1996,1,2-STROKE,,ALL,MOTORBIKE,TRIAL
371,GAS GAS,PAMPERA,250,,PAMPERA 250,,1998,1,2-STROKE,13 KW(17 PS),EUROPE,MOTORBIKE,SCRAMBLER
372,GAS GAS,TXT PRO,250,,TXT PRO 250,,2003,1,2-STROKE,,ALL,MOTORBIKE,TRIAL
373,GAS GAS,TXT PRO,125,,TXT PRO 125,,2007,1,2-STROKE,"7,4 KW(10 PS)",ALL,MOTORBIKE,TRIAL
374,GAS GAS,EC,300,RACING,EC 300 RACING,,2011,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
375,GAS GAS,TXT PRO,300,RACING,TXT PRO 300 RACING,,2014,1,2-STROKE,,ALL,MOTORBIKE,TRIAL
376,GAS GAS,EC,200,RACING,EC 200 RACING,,2017,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
377,GAS GAS,EC,300,E4,EC 300 E4,,2018,1,2-STROKE,,ALL,MOTORBIKE,ENDURO
